point_id,name,lat,lon,type
CSP-01,Pan Pacific Park Recreation Center,34.0714,-118.3559,Public recreation center
CSP-02,Griffith Park Recreation Center,34.1249,-118.3024,Public recreation center
CSP-03,Echo Park Recreation Center,34.0729,-118.2606,Public recreation center
CSP-04,Lincoln Heights Senior Center,34.0747,-118.2055,Public senior/community center
CSP-05,Los Angeles Convention Center,34.0407,-118.269,Public convention/service facility
CSP-06,Westwood Recreation Center,34.043,-118.4301,Public recreation center
CSP-07,Highland Park Senior Center,34.1117,-118.1882,Public senior/community center
CSP-08,Glassell Park Recreation Center,34.1171,-118.2357,Public recreation center
